"datasetid","success","sitename"
"852",1,"Fresh Pond"
"853",1,"Frying Pan Lake"
"855",1,"Fudger Lake"
"856",1,"Furnival Lake"
"857",1,"Saint-Gabriel"
"859",1,"Gardiner's Hole"
"860",1,"Gass Lake"
"861",0,NA
"862",0,"Georgian Bay, Lake Huron (1)"
"863",0,NA
"865",1,"Lac Geai"
"871",1,"Lac à St-Germain"
"874",0,"Upper Gillies Lake"
"875",0,"Glacial Lake"
"878",1,"Jones Lake [Glenboro site]"
"965",1,"Goff Lake"
"966",1,"Gold Lake Bog"
"969",1,"Goshen Springs"
"971",1,"Gould Pond"
"972",0,"Gould's Bog"
"973",1,"Graham Lake"
"974",1,"Grand Rapids"
"975",1,"Grant Lake"
"976",1,"Lac Gras"
"978",1,"Gravel Ridge"
"981",0,"Green Point Pond"
"983",1,"Green Pond"
"985",0,"Greenwater Pond"
"986",1,"Grenadier Pond"
"991",1,"Guardipee Lake"
"995",1,"Water Conservation Area 3B, Gumbo Limbo Near Tail"
"996",1,"Water Conservation Area 3B, Gumbo Limbo Wet Head"
"999",1,"Hack Pond"
